City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,pointe aux piments,-20.0628,57.5131,25.31,86,21,8.8,MU,1685986314
126,queenstown,-31.8976,26.8753,7.2,41,86,0.82,ZA,1685986314
127,talnakh,69.4865,88.3972,5.67,66,55,3.63,RU,1685986314
128,jamestown,42.097,-79.2353,21.12,36,0,3.6,US,1685986067
129,egilsstadir,65.2653,-14.3948,10.95,71,75,10.29,IS,1685986314
130,vernon,50.2581,-119.2691,22.56,26,0,2.24,CA,1685986315
131,diok'nisi,41.6293,42.3917,14.23,98,83,1.29,GE,1685986315
132,i-n-salah,27.1935,2.4607,37.57,9,1,1.65,DZ,1685986315
133,seryshevo,51.0933,128.3786,11.85,89,80,2.62,RU,1685986315
134,kununurra,-15.7667,128.7333,17.99,94,30,1.54,AU,1685986315
135,weno,7.4515,151.8468,28.61,75,100,2.93,FM,1685986315
136,katutura,-22.521,17.0557,13.54,19,0,1.54,NA,1685986315
137,pratt,37.6439,-98.7376,28.34,54,0,3.6,US,1685986316
138,paranaiba,-19.6772,-51.1908,27.11,38,50,1.2,BR,1685986316
139,avarua,-21.2078,-159.775,19.03,77,42,1.54,CK,1685986316
140,taulaga,-11.0553,-171.0883,28.34,69,16,6.98,AS,1685986316
141,russkaya polyana,49.417,31.9201,15.1,57,52,1.91,UA,1685986317
142,lata,40.1629,-8.3327,26.07,48,53,3.18,PT,1685986317
143,piton saint-leu,-21.2196,55.3151,21.33,78,75,1.54,RE,1685986318
144,sima,53.9202,102.0442,14.78,89,100,5.08,RU,1685986319
145,mugia,43.1041,-9.2179,20.09,78,84,5.03,ES,1685986319
146,dryden,49.7833,-92.7503,21.16,78,100,4.12,CA,1685986306
147,fale old settlement,-9.3852,-171.2468,27.81,77,26,6.5,TK,1685986319
148,hawaiian paradise park,19.5933,-154.9731,22.24,81,100,3.09,US,1685986319
149,ciudad lazaro cardenas,17.9583,-102.2,28.87,65,79,2.74,MX,1685986319
150,kodiak,57.79,-152.4072,6.73,100,100,4.63,US,1685986269
151,constantia,44.1833,28.65,18.38,63,14,4.8,RO,1685986204
152,abrisham,32.558,51.5731,28.57,22,71,3.52,IR,1685986320
153,nguigmi,14.2495,13.1092,33.6,40,100,2.71,NE,1685986320
154,merizo village,13.2658,144.6691,28.31,82,100,6.89,GU,1685986320
155,hadibu,12.65,54.0333,29.54,75,100,1.84,YE,1685986320
156,mahibadhoo,3.7833,72.9667,28.65,77,97,6.05,MV,1685986320
157,polyarnyy,69.1989,33.4478,3.07,97,100,8.31,RU,1685986321
158,port elizabeth,-33.918,25.5701,12.95,76,0,3.09,ZA,1685986321
159,udachny,66.4167,112.4,1.36,86,100,5.21,RU,1685986321
160,san patricio,28.017,-97.5169,27.87,51,20,3.93,US,1685986321
161,hasaki,35.7333,140.8333,17.9,87,100,4.27,JP,1685986321
162,waingapu,-9.6567,120.2641,23.92,88,16,1.38,ID,1685986098
163,tanumah,27.1,44.1333,33.28,21,90,3.03,SA,1685986321
164,visby,57.6409,18.296,18.12,63,0,4.63,SE,1685986322
165,livramento do brumado,-13.6431,-41.8406,31.0,26,9,1.19,BR,1685986322
166,nyagan,62.1406,65.3936,13.06,55,0,1.71,RU,1685986322
167,ancud,-41.8697,-73.8203,11.85,94,100,13.36,CL,1685986322
168,ushuaia,-54.8,-68.3,6.79,81,40,3.09,AR,1685986283
169,lebu,-37.6167,-73.65,14.65,72,90,3.92,CL,1685986322
170,kelibia,36.8476,11.0939,22.14,78,40,3.6,TN,1685986322
171,lerwick,60.1545,-1.1494,11.0,71,100,4.92,GB,1685986323
172,sterling,39.0062,-77.4286,25.64,42,0,4.63,US,1685986034
173,plattsburgh,44.6995,-73.4529,21.42,48,0,4.63,US,1685986141
174,varadero,23.1536,-81.2514,30.42,61,5,4.53,CU,1685986323
175,ocean shores,46.9737,-124.1563,17.94,73,0,2.68,US,1685986083
176,akureyri,65.6835,-18.0878,11.96,54,40,4.63,IS,1685986324
177,guerrero negro,27.9769,-114.0611,19.18,61,78,7.11,MX,1685986324
178,puerto armuelles,8.2833,-82.8667,30.99,96,100,1.79,PA,1685986324
179,sierra grande,-41.606,-65.3557,16.95,19,81,12.55,AR,1685986324
180,angaur state,6.906,134.13,28.8,78,99,6.9,PW,1685986324
181,issia,6.4922,-6.5856,26.0,88,100,2.03,CI,1685986324
182,idri,27.5,13.2667,37.61,8,87,5.02,LY,1685986325
183,waajid,3.8096,43.2463,29.13,47,86,7.53,SO,1685986325
184,mount pearl,47.5166,-52.7813,11.36,93,100,3.09,CA,1685986154
185,es castell,39.8795,4.2854,22.38,73,40,1.54,ES,1685986326
186,norderney,53.7,7.15,14.99,71,16,5.58,DE,1685986326
187,tazovsky,67.4667,78.7,10.68,77,92,4.22,RU,1685986326
188,fort st. john,56.2499,-120.8529,11.94,47,75,3.6,CA,1685986307
189,eureka,40.8021,-124.1637,17.66,75,65,1.79,US,1685986226
190,newman,37.3138,-121.0208,27.19,30,94,1.75,US,1685986326
191,ormara,25.2088,64.6357,28.92,85,23,8.17,PK,1685986327
192,menaka,15.9182,2.4022,39.79,12,92,1.31,ML,1685986327
193,vilyuchinsk,52.9306,158.4028,4.15,94,100,2.22,RU,1685986327
194,paramonga,-10.6667,-77.8333,23.8,68,49,4.46,PE,1685986327
195,bintulu,3.1667,113.0333,25.23,94,20,1.03,MY,1685986328
196,qaqortoq,60.7167,-46.0333,4.62,77,99,2.2,GL,1685986328
197,verkhovazh'ye,60.7472,42.0465,9.4,87,94,3.11,RU,1685986328
198,crescent city,41.756,-124.2018,23.58,71,51,0.89,US,1685986328
199,tsiombe,-25.3,45.4833,22.33,72,50,1.42,MG,1685986329
200,santana,-0.0583,-51.1817,31.1,70,40,3.6,BR,1685986329
201,nuku'alofa,-21.1333,-175.2,17.19,94,20,0.51,TO,1685986329
202,saint-pierre,-21.3393,55.4781,23.09,78,75,1.54,RE,1685986329
203,nosy varika,-20.5833,48.5333,21.48,85,0,1.53,MG,1685986329
204,delijan,33.9905,50.6838,23.6,41,96,1.03,IR,1685986329
205,emerald,-23.5333,148.1667,17.93,79,99,4.19,AU,1685986329
206,new norfolk,-42.7826,147.0587,6.72,97,40,1.3,AU,1685986330
207,la passe,45.5549,-0.8967,29.13,61,65,3.56,FR,1685986330
208,inirida,3.8653,-67.9239,29.66,77,59,0.95,CO,1685986330
209,spearfish,44.4908,-103.8594,26.73,45,0,5.66,US,1685986080
210,kedrovyy,56.1667,91.8167,22.23,77,63,1.01,RU,1685986330
211,carnarvon,-24.8667,113.6333,19.79,52,77,9.3,AU,1685986331
212,volksrust,-27.3654,29.8818,7.99,39,0,1.64,ZA,1685986331
213,robertsport,6.7533,-11.3686,27.19,81,100,4.84,LR,1685986331
214,vadso,70.0744,29.7487,5.49,75,40,9.77,NO,1685986331
215,majuro,7.0897,171.3803,25.98,89,100,4.12,MH,1685986331
216,georgetown,5.4112,100.3354,28.96,81,20,1.03,MY,1685986237
217,hammerfest,70.6634,23.6821,4.25,93,75,4.63,NO,1685986332
218,labytnangi,66.6572,66.4183,12.0,58,37,3.9,RU,1685986332
219,turpan,42.9333,89.1667,30.91,12,1,1.94,CN,1685986332
220,ta`u,-14.2336,-169.5144,27.59,67,80,6.64,AS,1685986332
221,trinity beach,-16.7888,145.6968,23.36,88,75,6.69,AU,1685986332
222,dunedin,-45.8742,170.5036,6.0,85,89,1.2,NZ,1685986333
223,jinghong,21.991,100.7341,22.85,86,41,0.91,CN,1685986333
224,brisas de zicatela,15.8369,-97.0419,31.29,70,40,5.14,MX,1685986333
225,miles city,46.4083,-105.8406,27.54,41,0,4.63,US,1685986143
226,rio grande,-32.035,-52.0986,19.06,59,65,3.0,BR,1685986334
227,daru,-9.0763,143.2092,25.63,91,78,4.61,PG,1685986334
228,st. john's,47.5649,-52.7093,11.82,93,100,3.09,CA,1685986161
229,quellon,-43.1167,-73.6167,11.14,87,100,7.2,CL,1685986329
230,khorinsk,52.1657,109.7726,14.6,50,100,4.05,RU,1685986334
231,codrington,-38.2667,141.9667,13.71,91,86,5.14,AU,1685986334
232,vanimo,-2.6741,141.3028,25.44,90,50,2.49,PG,1685986335
233,jalai nur,49.45,117.7,11.48,36,48,2.33,CN,1685986335
234,luderitz,-26.6481,15.1594,14.7,61,0,3.66,NA,1685986335
235,castillos,-34.1667,-53.8333,15.34,52,96,1.67,UY,1685986335
236,bad konigshofen im grabfeld,50.3,10.4833,23.47,62,56,4.11,DE,1685986336
237,rio claro,-22.4114,-47.5614,23.23,47,3,1.35,BR,1685986336
238,tympaki,35.0729,24.7685,23.39,59,100,1.79,GR,1685986336
239,mandera,3.9366,41.867,30.78,42,70,5.01,KE,1685986336
240,hamilton,39.1834,-84.5333,25.89,53,0,3.6,US,1685986337
